am_seed,metric,shared_fm_value,am_value,absolute_improvement_fm_minus_am,relative_improvement,am_below_shared_fm
1,energy_w2_20k,0.7481188689592072,0.3600774419143032,0.388041427044904,0.518689533368878,1
2,energy_w2_20k,0.7481188689592072,0.35819887278152335,0.38991999617768386,0.5212005903823087,1
3,energy_w2_20k,0.7481188689592072,0.3596254077340326,0.3884934612251746,0.519293761118005,1
1,pairwise_distance_w2_20k,0.05586556978269441,0.036064571547524626,0.019800998235169787,0.35444010169755,1
2,pairwise_distance_w2_20k,0.05586556978269441,0.03587275283956498,0.019992816943129432,0.3578736782046148,1
3,pairwise_distance_w2_20k,0.05586556978269441,0.03598110602515414,0.01988446375754027,0.35593414396177736,1
1,geometric_w2_2k,0.15513495314985598,0.1379196595079037,0.01721529364195229,0.11096979302480468,1
2,geometric_w2_2k,0.15513495314985598,0.13781275045434963,0.017322202695506356,0.11165892884741195,1
3,geometric_w2_2k,0.15513495314985598,0.13785159144060727,0.017283361709248712,0.11140855982696223,1
