metric,shared_fm_value,am_mean,am_sample_std_ddof1,am_min,am_max,improvement_mean,improvement_sample_std_ddof1,relative_improvement_mean,relative_improvement_sample_std_ddof1,wins,n_am_seeds,reference_floor_mean,reference_floor_sample_std_ddof1,reference_floor_repeats,reference_floor_rows_each
energy_w2_20k,0.7481188689592072,0.3593005741432864,0.0009805065746419648,0.35819887278152335,0.3600774419143032,0.38881829481592084,0.0009805065746419648,0.5197279616230639,0.0013106293870198138,3,3,0.04015748166441578,0.010157553388478114,30,20000
pairwise_distance_w2_20k,0.05586556978269441,0.03597281013741458,9.617806660495662e-05,0.03587275283956498,0.036064571547524626,0.01989275964527983,9.617806660495662e-05,0.35608264128798073,0.0017215982398294742,3,3,0.0034813272144716425,0.0009792567571782979,30,20000
geometric_w2_2k,0.15513495314985598,0.13786133380095353,5.4116278713468756e-05,0.13781275045434963,0.1379196595079037,0.017273619348902453,5.4116278713468756e-05,0.11134576056639295,0.000348833564678321,3,3,0.12825564482871682,0.0060280588684573835,10,2000
