metric,shared_fm,am_mean,am_sample_std_ddof1,am_median,wins_am_below_shared_fm,am_seed_count,mean_absolute_improvement,mean_relative_improvement,reference_floor_mean,reference_floor_sample_std,shared_fm_to_floor_mean_ratio,am_mean_to_floor_mean_ratio,verdict
energy_w2_2k,1.3431212033386088,1.508057271918062,0.11596140323458794,1.481645495118548,0,3,-0.1649360685794532,-0.12280058431768487,0.39936577688179675,0.13047608234073785,3.3631354539829346,3.7761304528715613,non_improving
pair_distance_w2_2k,0.040800476801627447,0.042235860432593059,0.0030339968112300681,0.041459756551132196,1,3,-0.0014353836309656115,-0.035180560216108971,0.007312307449365946,0.0031473683655853925,5.5796993061561269,5.7759962535841343,mixed
radius_of_gyration_w2_2k,0.027494408444638567,0.028267695714395604,0.002072135577758873,0.027740604152861198,1,3,-0.00077328726975703593,-0.028125255770244717,0.0059304526251866014,0.0021425588315495741,4.6361399681147368,4.7665325905046183,mixed
minimum_pair_distance_w2_2k,0.012507900077010371,0.01044963278984533,0.00057556085026819453,0.010289931380703651,3,3,0.0020582672871650404,0.16455738169416251,0.0020777136403793048,0.00051364186813910619,6.0200307847653844,5.0293902811061386,consistent_positive
geometric_w2_2k,3.0051608723497245,3.0137979014318543,0.0032873466025156997,3.0127269244664787,0,3,-0.0086370290821299687,-0.0028740654657122256,2.9758886184028444,0.005635194428332769,1.0098364749829214,1.0127388111216864,non_improving
