metric,am_seed,shared_fm,am,absolute_improvement_fm_minus_am,relative_improvement,am_below_shared_fm,reference_floor_mean,reference_floor_sample_std
energy_w2_2k,1,1.3431212033386088,1.481645495118548,-0.13852429177993919,-0.10313610673080588,false,0.39936577688179675,0.13047608234073785
energy_w2_2k,2,1.3431212033386088,1.6349463190303311,-0.2918251156917222,-0.21727385061476939,false,0.39936577688179675,0.13047608234073785
energy_w2_2k,3,1.3431212033386088,1.4075800016053071,-0.064458798266698203,-0.047991795607479334,false,0.39936577688179675,0.13047608234073785
pair_distance_w2_2k,1,0.040800476801627447,0.041459756551132196,-0.00065927974950474866,-0.016158628555008735,false,0.007312307449365946,0.0031473683655853925
pair_distance_w2_2k,2,0.040800476801627447,0.045582524163410229,-0.0047820473617827819,-0.11720567347860102,false,0.007312307449365946,0.0031473683655853925
pair_distance_w2_2k,3,0.040800476801627447,0.039665300583236751,0.001135176218390696,0.027822621385282836,true,0.007312307449365946,0.0031473683655853925
radius_of_gyration_w2_2k,1,0.027494408444638567,0.027740604152861198,-0.00024619570822263098,-0.0089543918982057363,false,0.0059304526251866014,0.0021425588315495741
radius_of_gyration_w2_2k,2,0.027494408444638567,0.030552472980404789,-0.0030580645357662223,-0.11122496204723938,false,0.0059304526251866014,0.0021425588315495741
radius_of_gyration_w2_2k,3,0.027494408444638567,0.026510010009920822,0.00098439843471774535,0.035803586634710956,true,0.0059304526251866014,0.0021425588315495741
minimum_pair_distance_w2_2k,1,0.012507900077010371,0.010289931380703651,0.0022179686963067196,0.17732542494350154,true,0.0020777136403793048,0.00051364186813910619
minimum_pair_distance_w2_2k,2,0.012507900077010371,0.011088180091237798,0.0014197199857725728,0.11350586245744243,true,0.0020777136403793048,0.00051364186813910619
minimum_pair_distance_w2_2k,3,0.012507900077010371,0.0099707868975945427,0.0025371131794158282,0.20284085768154356,true,0.0020777136403793048,0.00051364186813910619
geometric_w2_2k,1,3.0051608723497245,3.0127269244664787,-0.0075660521167542072,-0.0025176862198522964,false,2.9758886184028444,0.005635194428332769
geometric_w2_2k,2,3.0051608723497245,3.0174871819082854,-0.012326309558560844,-0.0041017137125584054,false,2.9758886184028444,0.005635194428332769
geometric_w2_2k,3,3.0051608723497245,3.0111795979207994,-0.0060187255710748566,-0.0020027964647259754,false,2.9758886184028444,0.005635194428332769
